Trip Start Timestamp,Trip ID
10/06/2019,278917
10/07/2019,236999
10/08/2019,238840
10/09/2019,250671
10/10/2019,294941
10/11/2019,376212
10/12/2019,387295
10/13/2019,290386
10/14/2019,260946
10/15/2019,267195
10/16/2019,285350
10/17/2019,311772
10/18/2019,368655
10/19/2019,388793
10/20/2019,309995
10/21/2019,265844
10/22/2019,277388
10/23/2019,279085
10/24/2019,307286
10/25/2019,370379
10/26/2019,461000
10/27/2019,320787
10/28/2019,251491
10/29/2019,268341
10/30/2019,297363
10/31/2019,327640
11/01/2019,387123
11/02/2019,392185
11/03/2019,302478
11/04/2019,248522
11/05/2019,260607
11/06/2019,277635
11/07/2019,324674
11/08/2019,384000
11/09/2019,403993
11/10/2019,313052
11/11/2019,266167
11/12/2019,306257
11/13/2019,313167
11/14/2019,326072
11/15/2019,375120
11/16/2019,392343
11/17/2019,291126
11/18/2019,259550
11/19/2019,271085
11/20/2019,280777
11/21/2019,321550
11/22/2019,375776
11/23/2019,380325
11/24/2019,282842
11/25/2019,239353
11/26/2019,273506
11/27/2019,296863
11/28/2019,205538
11/29/2019,242867
11/30/2019,310896
12/01/2019,260434
12/02/2019,271379
12/03/2019,280864
12/04/2019,294488
12/05/2019,329524
12/06/2019,399837
12/07/2019,418442
12/08/2019,296037
12/09/2019,260283
12/10/2019,290100
12/11/2019,308144
12/12/2019,334928
12/13/2019,403561
12/14/2019,437057
12/15/2019,320023
12/16/2019,261836
12/17/2019,280417
12/18/2019,312601
12/19/2019,330737
12/20/2019,370303
12/21/2019,355565
12/22/2019,273452
12/23/2019,232899
12/24/2019,180808
12/25/2019,118926
12/26/2019,187503
12/27/2019,261772
12/28/2019,292073
12/29/2019,246370
12/30/2019,255826
12/31/2019,311751
